Dates,PE
Aug-24-2001,21.84x
Aug-27-2001,21.54x
Aug-28-2001,21.34x
Aug-29-2001,21.16x
Aug-30-2001,21.09x
Aug-31-2001,21.18x
Sep-04-2001,21.23x
Sep-05-2001,21.10x
Sep-06-2001,20.69x
Sep-07-2001,20.41x
Sep-10-2001,21.14x
Sep-17-2001,20.90x
Sep-18-2001,21.60x
Sep-19-2001,21.93x
Sep-20-2001,21.94x
Sep-21-2001,21.00x
Sep-24-2001,21.75x
Sep-25-2001,22.48x
Sep-26-2001,22.42x
Sep-27-2001,22.09x
Sep-28-2001,22.47x
Oct-01-2001,22.46x
Oct-02-2001,22.61x
Oct-03-2001,22.48x
Oct-04-2001,22.32x
Oct-05-2001,22.17x
Oct-08-2001,22.32x
Oct-09-2001,22.39x
Oct-10-2001,22.60x
Oct-11-2001,22.24x
Oct-12-2001,21.96x
Oct-15-2001,21.75x
Oct-16-2001,21.42x
Oct-17-2001,21.20x
Oct-18-2001,20.85x
Oct-19-2001,20.81x
Oct-22-2001,20.44x
Oct-23-2001,19.98x
Oct-24-2001,20.02x
Oct-25-2001,20.00x
Oct-26-2001,20.22x
Oct-29-2001,20.08x
Oct-30-2001,19.60x
Oct-31-2001,19.46x
Nov-01-2001,19.82x
Nov-02-2001,19.77x
Nov-05-2001,19.96x
Nov-06-2001,20.01x
Nov-07-2001,19.85x
Nov-08-2001,19.63x
Nov-09-2001,19.75x
Nov-12-2001,19.54x
Nov-13-2001,20.51x
Nov-14-2001,20.71x
Nov-15-2001,21.31x
Nov-16-2001,21.27x
Nov-19-2001,21.32x
Nov-20-2001,21.03x
Nov-21-2001,20.90x
Nov-23-2001,21.01x
Nov-26-2001,21.21x
Nov-27-2001,20.88x
Nov-28-2001,20.66x
Nov-29-2001,20.71x
Nov-30-2001,20.49x
Dec-03-2001,20.65x
Dec-04-2001,20.71x
Dec-05-2001,20.94x
Dec-06-2001,21.03x
Dec-07-2001,20.61x
Dec-10-2001,20.45x
Dec-11-2001,20.38x
Dec-12-2001,20.38x
Dec-13-2001,20.27x
Dec-14-2001,20.35x
Dec-17-2001,20.90x
Dec-18-2001,20.69x
Dec-19-2001,20.72x
Dec-20-2001,20.76x
Dec-21-2001,20.75x
Dec-24-2001,20.77x
Dec-26-2001,20.81x
Dec-27-2001,21.12x
Dec-28-2001,21.17x
Dec-31-2001,20.92x
Jan-02-2002,21.34x
Jan-03-2002,21.62x
Jan-04-2002,21.48x
Jan-07-2002,21.29x
Jan-08-2002,21.19x
Jan-09-2002,20.57x
Jan-10-2002,20.69x
Jan-11-2002,20.51x
Jan-14-2002,20.41x
Jan-15-2002,20.42x
Jan-16-2002,20.11x
Jan-17-2002,20.13x
Jan-18-2002,19.83x
Jan-22-2002,19.39x
Jan-23-2002,19.74x
Jan-24-2002,19.77x
Jan-25-2002,19.56x
Jan-28-2002,19.70x
Jan-29-2002,19.13x
Jan-30-2002,18.92x
Jan-31-2002,19.22x
Feb-01-2002,18.92x
Feb-04-2002,18.05x
Feb-05-2002,17.58x
Feb-06-2002,17.10x
Feb-07-2002,17.59x
Feb-08-2002,18.08x
Feb-11-2002,17.97x
Feb-12-2002,17.86x
Feb-13-2002,17.89x
Feb-14-2002,17.74x
Feb-15-2002,17.55x
Feb-19-2002,17.33x
Feb-20-2002,17.73x
Feb-21-2002,17.17x
Feb-22-2002,17.47x
Feb-25-2002,18.02x
Feb-26-2002,17.97x
Feb-27-2002,18.05x
Feb-28-2002,19.14x
Mar-01-2002,19.51x
Mar-04-2002,19.60x
Mar-05-2002,19.41x
Mar-06-2002,19.95x
Mar-07-2002,19.74x
Mar-08-2002,19.71x
Mar-11-2002,19.81x
Mar-12-2002,19.71x
Mar-13-2002,19.83x
Mar-14-2002,19.68x
Mar-15-2002,19.77x
Mar-18-2002,19.78x
Mar-19-2002,19.69x
Mar-20-2002,21.32x
Mar-21-2002,21.25x
