Dates,Price
Oct-31-2001,162.41
Nov-30-2001,165.33
Dec-31-2001,168.11
Jan-31-2002,154.42
Feb-28-2002,144.47
Mar-31-2002,141.35
Apr-30-2002,118.82
May-31-2002,123.14
Jun-30-2002,107.67
Jul-31-2002,93.67
Aug-31-2002,92.02
Sep-30-2002,79
Oct-31-2002,104.18
Nov-30-2002,116.67
Dec-31-2002,107.78
Jan-31-2003,100.25
Feb-28-2003,91.87
Mar-31-2003,91.53
Apr-30-2003,99.75
May-31-2003,106.44
Jun-30-2003,110.25
Jul-31-2003,103.49
Aug-31-2003,103.49
Sep-30-2003,99.12
Oct-31-2003,103.58
Nov-30-2003,102.27
Dec-31-2003,111.32
Jan-31-2004,115.43
Feb-29-2004,117.72
Mar-31-2004,115.95
Apr-30-2004,115.28
May-31-2004,110.55
Jun-30-2004,113.9
Jul-31-2004,117.46
Aug-31-2004,118.8
Sep-30-2004,120.18
Oct-31-2004,121.26
Nov-30-2004,126.07
Dec-31-2004,129.1
Jan-31-2005,119.29
Feb-28-2005,120.06
Mar-31-2005,117.98
Apr-30-2005,118.13
May-31-2005,119.56
Jun-30-2005,121.09
Jul-31-2005,124.88
Aug-31-2005,120.55
Sep-30-2005,118.72
Oct-31-2005,116.25
Nov-30-2005,121.96
Dec-31-2005,117.43
Jan-31-2006,121.24
Feb-28-2006,129.19
Mar-31-2006,133.14
Apr-30-2006,129.26
May-31-2006,125.37
Jun-30-2006,131.25
Jul-31-2006,136.79
Aug-31-2006,138.36
Sep-30-2006,143.89
Oct-31-2006,148.87
Nov-30-2006,148.38
Dec-31-2006,155.15
Jan-31-2007,159.95
Feb-28-2007,158.88
Mar-31-2007,165.02
Apr-30-2007,165.13
May-31-2007,181.06
Jun-30-2007,176.21
Jul-31-2007,171.12
Aug-31-2007,170.99
Sep-30-2007,178.61
Oct-31-2007,175.99
Nov-30-2007,163.23
Dec-31-2007,168.26
Jan-31-2008,151.63
Feb-29-2008,137.08
Mar-31-2008,143.79
Apr-30-2008,149.34
May-31-2008,154.34
Jun-30-2008,136.46
Jul-31-2008,127.17
Aug-31-2008,131.71
Sep-30-2008,114.99
Oct-31-2008,104.04
Nov-30-2008,110.72
Dec-31-2008,111.7
Jan-31-2009,99.35
Feb-28-2009,96.53
Mar-31-2009,102.24
Apr-30-2009,104.52
May-31-2009,103.14
Jun-30-2009,104.18
Jul-31-2009,107.93
Aug-31-2009,105.32
Sep-30-2009,108.29
Oct-31-2009,103.04
Nov-30-2009,109.62
Dec-31-2009,114.64
Jan-31-2010,103.95
Feb-28-2010,102.61
Mar-31-2010,108.15
Apr-30-2010,106.64
May-31-2010,102.44
Jun-30-2010,102.04
Jul-31-2010,110.13
Aug-31-2010,112.61
Sep-30-2010,121.54
Oct-31-2010,121.4
Nov-30-2010,119.66
Dec-31-2010,128.74
Jan-31-2011,123.79
Feb-28-2011,126.68
Mar-31-2011,133.25
Apr-30-2011,134.14
May-31-2011,136.34
Jun-30-2011,134.34
Jul-31-2011,125.38
Aug-31-2011,123.68
Sep-30-2011,122.01
Oct-31-2011,124.16
Nov-30-2011,125.14
Dec-31-2011,129.82
Jan-31-2012,124.71
Feb-29-2012,129.35
Mar-31-2012,130.65
Apr-30-2012,136.12
May-31-2012,139.66
Jun-30-2012,147.14
Jul-31-2012,155.2
Aug-31-2012,151.3
Sep-30-2012,157.13
Oct-31-2012,148.95
Nov-30-2012,147.64
Dec-31-2012,146.04
Jan-31-2013,149.23
Feb-28-2013,153.05
Mar-31-2013,158.01
Apr-30-2013,167.48
May-31-2013,155.01
Jun-30-2013,157.9
Jul-31-2013,156.73
Aug-31-2013,150.24
Sep-30-2013,149.3
Oct-31-2013,160.27
Nov-30-2013,156.05
Dec-31-2013,155.52
Jan-31-2014,149.05
Feb-28-2014,147.5
Mar-31-2014,154.39
Apr-30-2014,155.04
May-31-2014,160.29
Jun-30-2014,158.25
Jul-31-2014,162.31
Aug-31-2014,160.57
Sep-30-2014,161.13
Oct-31-2014,160.83
Nov-30-2014,162.61
Dec-31-2014,152.55
Jan-31-2015,149.13
Feb-28-2015,158.95
Mar-31-2015,152.93
Apr-30-2015,160.09
May-31-2015,157.11
Jun-30-2015,153.47
Jul-31-2015,151.71
Aug-31-2015,146.61
Sep-30-2015,141.19
Oct-31-2015,149.37
Nov-30-2015,147.38
Dec-31-2015,149.91
Jan-31-2016,158.12
Feb-29-2016,162.38
Mar-31-2016,172.55
Apr-30-2016,167.13
May-31-2016,167.07
Jun-30-2016,182.64
Jul-31-2016,182.67
Aug-31-2016,172.21
Sep-30-2016,170.58
Oct-31-2016,157.79
Nov-30-2016,163.39
Dec-31-2016,176.61
Jan-31-2017,170.43
Feb-28-2017,169.77
Mar-31-2017,167.68
Apr-30-2017,160.33
May-31-2017,158.76
Jun-30-2017,154.03
Jul-31-2017,161.84
Aug-31-2017,156.85
Sep-30-2017,162.37
Oct-31-2017,148.26
Nov-30-2017,157.01
Dec-31-2017,166.07
Jan-31-2018,165
Feb-28-2018,153.36
Mar-31-2018,151.65
Apr-30-2018,148.24
May-31-2018,144.87
Jun-30-2018,148.12
Jul-31-2018,149.6
Aug-31-2018,153.99
Sep-30-2018,160.55
Oct-31-2018,150.88
Nov-30-2018,149.86
Dec-31-2018,138.78
Jan-31-2019,152.75
Feb-28-2019,154
Mar-31-2019,157.68
Apr-30-2019,167.49
May-31-2019,157.52
Jun-30-2019,164.23
Jul-31-2019,169.18
Aug-31-2019,166.58
Sep-30-2019,167.26
Oct-31-2019,171.82
Nov-30-2019,178.24
Dec-31-2019,181.64
Jan-31-2020,182.84
Feb-29-2020,171.25
Mar-31-2020,150.35
Apr-30-2020,170.66
May-31-2020,180.89
Jun-30-2020,179.88
Jul-31-2020,191.69
Aug-31-2020,209.04
Sep-30-2020,195.49
Oct-31-2020,196.55
Nov-30-2020,215.31
Dec-31-2020,221.92
Jan-31-2021,218.57
Feb-28-2021,232.08
Mar-31-2021,239.28
Apr-30-2021,257.55
May-31-2021,257.37
Jun-30-2021,264.35
Jul-31-2021,273.3
Aug-15-2021,278.08
