Dates,Value
Aug-01-2001,198.68
Aug-02-2001,195.27
Aug-03-2001,193.28
Aug-06-2001,191.48
Aug-07-2001,191.19
Aug-08-2001,187.94
Aug-09-2001,186.89
Aug-10-2001,190.18
Aug-13-2001,190.54
Aug-14-2001,191.38
Aug-15-2001,187.67
Aug-16-2001,188.59
Aug-17-2001,184.51
Aug-20-2001,187.26
Aug-21-2001,184.79
Aug-22-2001,181.93
Aug-23-2001,180.14
Aug-24-2001,183.24
Aug-27-2001,180.65
Aug-28-2001,179.19
Aug-29-2001,177.58
Aug-30-2001,176.92
Aug-31-2001,177.75
Sep-04-2001,178.09
Sep-05-2001,176.97
Sep-06-2001,173.38
Sep-07-2001,171.18
Sep-10-2001,177.30
Sep-17-2001,175.18
Sep-18-2001,181.08
Sep-19-2001,183.80
Sep-20-2001,183.58
Sep-21-2001,175.94
Sep-24-2001,182.18
Sep-25-2001,188.28
Sep-26-2001,187.60
Sep-27-2001,184.73
Sep-28-2001,187.82
Oct-01-2001,187.77
Oct-02-2001,189.14
Oct-03-2001,188.00
Oct-04-2001,186.39
Oct-05-2001,185.14
Oct-08-2001,186.34
Oct-09-2001,186.84
Oct-10-2001,188.55
Oct-11-2001,185.57
Oct-12-2001,183.25
Oct-15-2001,181.48
Oct-16-2001,178.70
Oct-17-2001,176.92
Oct-18-2001,174.00
Oct-19-2001,173.67
Oct-22-2001,170.56
Oct-23-2001,166.74
Oct-24-2001,167.08
Oct-25-2001,166.89
Oct-26-2001,168.69
Oct-29-2001,167.51
Oct-30-2001,163.56
Oct-31-2001,162.41
Nov-01-2001,165.35
Nov-02-2001,164.99
Nov-05-2001,166.38
Nov-06-2001,166.83
Nov-07-2001,165.19
Nov-08-2001,166.60
Nov-09-2001,167.63
Nov-12-2001,165.83
Nov-13-2001,166.44
Nov-14-2001,167.19
Nov-15-2001,171.96
Nov-16-2001,171.69
Nov-19-2001,172.09
Nov-20-2001,169.76
Nov-21-2001,168.66
Nov-23-2001,169.60
Nov-26-2001,171.18
Nov-27-2001,168.54
Nov-28-2001,166.75
Nov-29-2001,167.17
Nov-30-2001,165.33
Dec-03-2001,166.65
Dec-04-2001,167.18
Dec-05-2001,168.97
Dec-06-2001,169.70
Dec-07-2001,166.31
Dec-10-2001,165.01
Dec-11-2001,164.55
Dec-12-2001,164.45
Dec-13-2001,163.58
Dec-14-2001,164.23
Dec-17-2001,168.74
Dec-18-2001,166.97
Dec-19-2001,167.26
Dec-20-2001,167.54
Dec-21-2001,167.47
Dec-24-2001,166.88
Dec-26-2001,167.15
Dec-27-2001,169.72
Dec-28-2001,170.05
Dec-31-2001,168.11
Jan-02-2002,171.43
Jan-03-2002,173.74
Jan-04-2002,172.57
Jan-07-2002,171.03
Jan-08-2002,170.22
Jan-09-2002,165.29
Jan-10-2002,166.24
Jan-11-2002,164.81
Jan-14-2002,164.02
Jan-15-2002,164.10
Jan-16-2002,161.59
Jan-17-2002,161.72
Jan-18-2002,159.35
Jan-22-2002,155.78
Jan-23-2002,158.61
Jan-24-2002,158.84
Jan-25-2002,157.18
Jan-28-2002,158.25
Jan-29-2002,153.72
Jan-30-2002,151.98
Jan-31-2002,154.42
Feb-01-2002,152.04
Feb-04-2002,145.05
Feb-05-2002,141.28
Feb-06-2002,137.41
Feb-07-2002,141.29
Feb-08-2002,145.28
Feb-11-2002,144.37
Feb-12-2002,143.53
Feb-13-2002,143.72
Feb-14-2002,142.56
Feb-15-2002,140.99
Feb-19-2002,138.85
Feb-20-2002,142.05
Feb-21-2002,137.60
Feb-22-2002,139.95
Feb-25-2002,144.36
Feb-26-2002,144.09
Feb-27-2002,144.62
Feb-28-2002,144.47
Mar-01-2002,147.20
Mar-04-2002,147.56
Mar-05-2002,146.31
Mar-06-2002,150.37
Mar-07-2002,148.81
Mar-08-2002,148.61
Mar-11-2002,149.33
Mar-12-2002,148.50
Mar-13-2002,147.11
Mar-14-2002,145.99
Mar-15-2002,146.65
Mar-18-2002,146.67
Mar-19-2002,145.99
Mar-20-2002,145.04
Mar-21-2002,144.52
Mar-22-2002,141.92
Mar-25-2002,140.53
Mar-26-2002,140.76
Mar-27-2002,140.11
Mar-28-2002,141.35
Apr-01-2002,140.55
Apr-02-2002,139.67
Apr-03-2002,139.94
Apr-04-2002,139.94
Apr-05-2002,138.62
Apr-08-2002,136.36
Apr-09-2002,130.81
Apr-10-2002,130.94
Apr-11-2002,124.26
Apr-12-2002,126.93
Apr-15-2002,125.37
Apr-16-2002,135.18
Apr-17-2002,134.76
Apr-18-2002,132.07
Apr-19-2002,128.75
Apr-22-2002,121.99
Apr-23-2002,122.59
Apr-24-2002,123.33
Apr-25-2002,124.54
Apr-26-2002,122.05
Apr-29-2002,116.72
Apr-30-2002,118.82
May-01-2002,123.24
May-02-2002,121.80
May-03-2002,119.01
May-06-2002,117.02
May-07-2002,116.04
May-08-2002,121.18
May-09-2002,118.73
May-10-2002,114.34
May-13-2002,118.35
May-14-2002,121.34
May-15-2002,122.04
May-16-2002,125.63
May-17-2002,124.24
May-20-2002,122.62
May-21-2002,123.44
May-22-2002,124.24
May-23-2002,127.55
May-24-2002,124.70
May-28-2002,125.97
May-29-2002,124.24
May-30-2002,123.76
May-31-2002,123.14
Jun-03-2002,120.15
Jun-04-2002,121.00
Jun-05-2002,120.83
Jun-06-2002,116.56
Jun-07-2002,117.80
Jun-10-2002,116.87
Jun-11-2002,113.91
Jun-12-2002,114.99
Jun-13-2002,113.96
Jun-14-2002,111.20
Jun-17-2002,113.80
Jun-18-2002,113.94
Jun-19-2002,108.19
Jun-20-2002,107.34
Jun-21-2002,108.32
Jun-24-2002,107.06
Jun-25-2002,104.23
Jun-26-2002,102.66
Jun-27-2002,104.47
Jun-28-2002,107.67
Jul-01-2002,103.84
Jul-02-2002,100.92
Jul-03-2002,103.46
Jul-05-2002,106.78
Jul-08-2002,106.58
Jul-09-2002,104.00
Jul-10-2002,102.21
Jul-11-2002,105.31
Jul-12-2002,103.07
Jul-15-2002,103.11
Jul-16-2002,102.98
Jul-17-2002,101.69
Jul-18-2002,99.54
Jul-19-2002,95.15
Jul-22-2002,85.82
Jul-23-2002,81.27
Jul-24-2002,83.36
Jul-25-2002,83.82
Jul-26-2002,84.25
Jul-29-2002,87.75
Jul-30-2002,88.58
Jul-31-2002,93.67
Aug-01-2002,90.91
Aug-02-2002,91.19
Aug-05-2002,86.16
Aug-06-2002,86.55
Aug-07-2002,85.75
Aug-08-2002,88.54
Aug-09-2002,89.18
Aug-12-2002,89.31
Aug-13-2002,87.87
Aug-14-2002,92.55
Aug-15-2002,92.21
Aug-16-2002,95.14
Aug-19-2002,99.35
Aug-20-2002,95.76
Aug-21-2002,98.46
Aug-22-2002,99.10
Aug-23-2002,96.10
Aug-26-2002,97.85
Aug-27-2002,96.54
Aug-28-2002,93.81
Aug-29-2002,94.02
Aug-30-2002,92.02
Sep-03-2002,86.24
Sep-04-2002,89.27
Sep-05-2002,87.33
Sep-06-2002,89.45
Sep-09-2002,90.41
Sep-10-2002,92.06
Sep-11-2002,94.84
Sep-12-2002,92.86
Sep-13-2002,92.02
Sep-16-2002,91.91
Sep-17-2002,91.10
Sep-18-2002,90.29
Sep-19-2002,86.76
Sep-20-2002,87.29
Sep-23-2002,86.42
Sep-24-2002,84.17
Sep-25-2002,84.86
Sep-26-2002,85.26
Sep-27-2002,80.99
Sep-30-2002,79.00
Oct-01-2002,83.40
Oct-02-2002,82.27
Oct-03-2002,86.57
Oct-04-2002,86.76
Oct-07-2002,84.26
Oct-08-2002,82.61
Oct-09-2002,82.06
Oct-10-2002,85.94
Oct-11-2002,90.85
Oct-14-2002,90.60
Oct-15-2002,94.84
Oct-16-2002,92.99
Oct-17-2002,96.11
Oct-18-2002,97.23
Oct-21-2002,98.48
Oct-22-2002,103.62
Oct-23-2002,101.70
Oct-24-2002,102.19
Oct-25-2002,101.91
Oct-28-2002,104.75
Oct-29-2002,101.62
Oct-30-2002,105.16
Oct-31-2002,104.18
Nov-01-2002,108.93
Nov-04-2002,111.30
Nov-05-2002,111.46
Nov-06-2002,110.59
Nov-07-2002,108.23
Nov-08-2002,108.47
Nov-11-2002,104.41
Nov-12-2002,105.76
Nov-13-2002,103.54
Nov-14-2002,105.08
Nov-15-2002,107.77
Nov-18-2002,107.01
Nov-19-2002,105.82
Nov-20-2002,109.71
Nov-21-2002,113.98
Nov-22-2002,113.58
Nov-25-2002,116.24
Nov-26-2002,112.39
Nov-27-2002,116.58
Nov-29-2002,116.67
Dec-02-2002,116.41
Dec-03-2002,112.63
Dec-04-2002,111.76
Dec-05-2002,109.74
Dec-06-2002,111.55
Dec-09-2002,106.97
Dec-10-2002,107.25
Dec-11-2002,106.90
Dec-12-2002,107.03
Dec-13-2002,107.21
Dec-16-2002,111.23
Dec-17-2002,111.87
Dec-18-2002,110.45
Dec-19-2002,109.58
Dec-20-2002,112.41
Dec-23-2002,112.73
Dec-24-2002,111.24
Dec-26-2002,111.39
Dec-27-2002,108.91
Dec-30-2002,108.47
Dec-31-2002,107.78
Jan-02-2003,113.52
Jan-03-2003,113.82
Jan-06-2003,122.39
Jan-07-2003,121.08
Jan-08-2003,115.51
Jan-09-2003,116.30
Jan-10-2003,115.19
Jan-13-2003,115.63
Jan-14-2003,117.89
Jan-15-2003,114.91
Jan-16-2003,112.44
Jan-17-2003,109.25
Jan-21-2003,107.09
Jan-22-2003,107.28
Jan-23-2003,102.07
Jan-24-2003,98.39
Jan-27-2003,99.04
Jan-28-2003,98.57
Jan-29-2003,99.72
Jan-30-2003,97.61
Jan-31-2003,100.25
Feb-03-2003,102.05
Feb-04-2003,102.17
Feb-05-2003,101.70
Feb-06-2003,100.30
Feb-07-2003,99.51
Feb-10-2003,99.05
Feb-11-2003,97.32
Feb-12-2003,95.36
Feb-13-2003,94.46
Feb-14-2003,97.50
Feb-18-2003,99.03
Feb-19-2003,96.62
Feb-20-2003,91.74
Feb-21-2003,92.66
Feb-24-2003,92.07
Feb-25-2003,93.30
Feb-26-2003,91.41
Feb-27-2003,92.17
Feb-28-2003,91.87
Mar-03-2003,91.52
Mar-04-2003,90.13
Mar-05-2003,90.94
Mar-06-2003,88.61
Mar-07-2003,89.11
Mar-10-2003,85.04
Mar-11-2003,84.18
Mar-12-2003,86.03
Mar-13-2003,90.24
Mar-14-2003,91.31
Mar-17-2003,94.58
Mar-18-2003,94.47
Mar-19-2003,95.52
Mar-20-2003,94.78
Mar-21-2003,96.50
Mar-24-2003,92.76
Mar-25-2003,94.16
Mar-26-2003,94.69
Mar-27-2003,94.24
Mar-28-2003,93.27
Mar-31-2003,91.53
Apr-01-2003,94.50
Apr-02-2003,97.51
Apr-03-2003,94.52
Apr-04-2003,94.37
Apr-07-2003,94.28
Apr-08-2003,92.52
Apr-09-2003,90.71
Apr-10-2003,91.31
Apr-11-2003,90.49
Apr-14-2003,92.88
Apr-15-2003,91.81
Apr-16-2003,89.18
Apr-17-2003,90.43
Apr-21-2003,88.99
Apr-22-2003,88.90
Apr-23-2003,96.33
Apr-24-2003,96.34
Apr-25-2003,95.69
Apr-28-2003,98.77
Apr-29-2003,99.09
Apr-30-2003,99.75
May-01-2003,99.86
May-02-2003,102.09
May-05-2003,100.68
May-06-2003,102.00
May-07-2003,100.17
May-08-2003,98.47
May-09-2003,100.61
May-12-2003,102.72
May-13-2003,102.44
May-14-2003,102.55
May-15-2003,102.53
May-16-2003,102.27
May-19-2003,100.44
May-20-2003,101.17
May-21-2003,101.48
May-22-2003,103.05
May-23-2003,105.18
May-27-2003,106.21
May-28-2003,105.41
May-29-2003,105.14
May-30-2003,106.44
Jun-02-2003,107.35
Jun-03-2003,107.85
Jun-04-2003,109.62
Jun-05-2003,110.15
Jun-06-2003,109.11
Jun-09-2003,107.60
Jun-10-2003,108.16
Jun-11-2003,109.66
Jun-12-2003,110.17
Jun-13-2003,108.29
Jun-16-2003,110.35
Jun-17-2003,110.12
Jun-18-2003,111.43
Jun-19-2003,110.93
Jun-20-2003,113.22
Jun-23-2003,111.39
Jun-24-2003,112.34
Jun-25-2003,110.55
Jun-26-2003,112.43
Jun-27-2003,110.97
Jun-30-2003,110.25
Jul-01-2003,111.81
Jul-02-2003,113.95
Jul-03-2003,112.50
Jul-07-2003,113.75
Jul-08-2003,113.07
Jul-09-2003,111.22
Jul-10-2003,108.35
Jul-11-2003,109.84
Jul-14-2003,108.71
Jul-15-2003,107.79
Jul-16-2003,106.30
Jul-17-2003,103.64
Jul-18-2003,105.31
Jul-21-2003,101.99
Jul-22-2003,104.57
Jul-23-2003,103.75
Jul-24-2003,103.11
Jul-25-2003,104.59
Jul-28-2003,106.52
Jul-29-2003,104.76
Jul-30-2003,103.94
Jul-31-2003,103.49
Aug-01-2003,102.90
Aug-04-2003,105.27
Aug-05-2003,102.58
Aug-06-2003,103.71
Aug-07-2003,102.42
Aug-08-2003,102.34
Aug-11-2003,102.92
Aug-12-2003,104.29
Aug-13-2003,102.43
Aug-14-2003,103.03
Aug-15-2003,102.88
Aug-18-2003,104.03
Aug-19-2003,104.65
Aug-20-2003,105.19
Aug-21-2003,105.25
Aug-22-2003,103.05
Aug-25-2003,102.10
Aug-26-2003,103.08
Aug-27-2003,102.66
Aug-28-2003,103.54
Aug-29-2003,103.49
Sep-02-2003,104.12
Sep-03-2003,105.35
Sep-04-2003,106.02
Sep-05-2003,105.68
Sep-08-2003,105.53
Sep-09-2003,104.12
Sep-10-2003,104.66
Sep-11-2003,104.30
Sep-12-2003,104.81
Sep-15-2003,103.65
Sep-16-2003,105.11
Sep-17-2003,105.69
Sep-18-2003,107.04
Sep-19-2003,106.05
Sep-22-2003,104.88
Sep-23-2003,101.91
Sep-24-2003,99.61
Sep-25-2003,99.60
Sep-26-2003,99.18
Sep-29-2003,99.53
Sep-30-2003,99.12
Oct-01-2003,100.51
Oct-02-2003,100.77
Oct-03-2003,102.15
Oct-06-2003,103.09
Oct-07-2003,102.97
Oct-08-2003,100.34
Oct-09-2003,100.08
Oct-10-2003,100.16
Oct-13-2003,99.20
Oct-14-2003,98.36
Oct-15-2003,99.64
Oct-16-2003,100.60
Oct-17-2003,99.86
Oct-20-2003,101.65
Oct-21-2003,99.92
Oct-22-2003,100.81
Oct-23-2003,100.74
Oct-24-2003,101.39
Oct-27-2003,101.81
Oct-28-2003,102.05
Oct-29-2003,102.60
Oct-30-2003,102.26
Oct-31-2003,103.58
Nov-03-2003,103.67
Nov-04-2003,102.39
Nov-05-2003,101.77
Nov-06-2003,100.60
Nov-07-2003,99.98
Nov-10-2003,100.72
Nov-11-2003,100.66
Nov-12-2003,101.38
Nov-13-2003,100.32
Nov-14-2003,100.97
Nov-17-2003,100.55
Nov-18-2003,99.24
Nov-19-2003,99.18
Nov-20-2003,98.74
Nov-21-2003,100.01
Nov-24-2003,101.10
Nov-25-2003,102.26
Nov-26-2003,102.47
Nov-28-2003,102.27
Dec-01-2003,102.66
Dec-02-2003,102.33
Dec-03-2003,101.95
Dec-04-2003,104.17
Dec-05-2003,104.58
Dec-08-2003,104.08
Dec-09-2003,102.62
Dec-10-2003,103.99
Dec-11-2003,105.11
Dec-12-2003,104.43
Dec-15-2003,104.69
Dec-16-2003,105.04
Dec-17-2003,106.04
Dec-18-2003,107.24
Dec-19-2003,107.10
Dec-22-2003,107.55
Dec-23-2003,108.14
Dec-24-2003,107.43
Dec-26-2003,107.46
Dec-29-2003,109.70
Dec-30-2003,110.85
Dec-31-2003,111.32
Jan-02-2004,111.64
Jan-05-2004,115.16
Jan-06-2004,116.36
Jan-07-2004,115.71
Jan-08-2004,117.36
Jan-09-2004,113.74
Jan-12-2004,115.27
Jan-13-2004,115.07
Jan-14-2004,117.59
Jan-15-2004,116.74
Jan-16-2004,116.73
Jan-20-2004,118.63
Jan-21-2004,118.41
Jan-22-2004,117.58
Jan-23-2004,117.95
Jan-26-2004,119.13
Jan-27-2004,117.61
Jan-28-2004,115.80
Jan-29-2004,115.95
Jan-30-2004,115.43
Feb-02-2004,117.90
Feb-03-2004,117.07
Feb-04-2004,115.50
Feb-05-2004,116.05
Feb-06-2004,117.72
Feb-09-2004,117.44
Feb-10-2004,118.52
Feb-11-2004,120.01
Feb-12-2004,119.07
Feb-13-2004,118.20
Feb-17-2004,121.67
Feb-18-2004,119.75
Feb-19-2004,117.78
Feb-20-2004,117.27
Feb-23-2004,117.02
Feb-24-2004,118.02
Feb-25-2004,117.46
Feb-26-2004,117.61
Feb-27-2004,117.72
Mar-01-2004,119.37
Mar-02-2004,121.72
Mar-03-2004,120.74
Mar-04-2004,121.44
Mar-05-2004,120.67
Mar-08-2004,120.61
Mar-09-2004,120.54
Mar-10-2004,117.66
Mar-11-2004,115.65
Mar-12-2004,116.74
Mar-15-2004,115.03
Mar-16-2004,115.41
Mar-17-2004,116.63
Mar-18-2004,116.75
Mar-19-2004,116.27
Mar-22-2004,114.25
Mar-23-2004,113.28
