,Year,Month,PE,Value,m_earnings,prev_m,EPS_growth,DATE,GS10,final_EPS_growth
0,2001,8,21.35732317,186.3934783,8.72738015,,,31/08/2001,0.0473,
1,2001,9,21.54401687,180.474,8.376989357,8.72738015,-0.388426242,30/09/2001,0.0457,-0.434126242
2,2001,10,21.27782135,177.6173913,8.347536545,8.376989357,-0.041384637,31/10/2001,0.0465,-0.087884637
3,2001,11,20.4927189,167.8647619,8.191434367,8.347536545,-0.202704117,30/11/2001,0.0509,-0.253604117
4,2001,12,20.7185824,167.026,8.06165194,8.191434367,-0.174401199,31/12/2001,0.0504,-0.224801199
5,2002,1,20.23965043,162.6138095,8.034417892,8.06165194,-0.039793862,31/01/2002,0.0491,-0.088893862
6,2002,2,17.85323642,142.8163158,7.99946365,8.034417892,-0.050975488,28/02/2002,0.0528,-0.103775488
7,2002,3,20.12640295,145.6665,7.237582412,7.99946365,-0.699121032,31/03/2002,0.0521,-0.751221032
8,2002,4,24.41415555,129.7359091,5.313962584,7.237582412,-0.975458583,30/04/2002,0.0516,-1.027058583
9,2002,5,34.86449845,121.9372727,3.497462408,5.313962584,-0.993392841,31/05/2002,0.0493,-1.042692841
10,2002,6,37.85313195,112.2475,2.965342475,3.497462408,-0.862005544,30/06/2002,0.0465,-0.908505544
11,2002,7,33.46653973,96.68909091,2.889127221,2.965342475,-0.268352838,31/07/2002,0.0426,-0.310952838
12,2002,8,35.05689068,92.65318182,2.642937808,2.889127221,-0.656565966,31/08/2002,0.0387,-0.695265966
13,2002,9,31.9491215,88.1265,2.758338754,2.642937808,0.670043911,30/09/2002,0.0394,0.630643911
14,2002,10,32.46847561,93.9173913,2.892571627,2.758338754,0.768635131,31/10/2002,0.0405,0.728135131
15,2002,11,32.8859216,109.876,3.341125766,2.892571627,4.640328787,30/11/2002,0.0403,4.600028787
16,2002,12,27.76155414,110.1671429,3.968334852,3.341125766,6.881082104,31/12/2002,0.0405,5
17,2003,1,27.88368519,109.4261905,3.924380502,3.968334852,-0.125109751,31/01/2003,0.039,-0.164109751
18,2003,2,25.83458274,96.33105263,3.728763635,3.924380502,-0.458591659,28/02/2003,0.0381,-0.496691659
19,2003,3,23.80220338,91.60047619,3.848403222,3.728763635,0.460792674,31/03/2003,0.0396,0.421192674
20,2003,4,18.91827795,93.73190476,4.954568539,3.848403222,19.7349624,30/04/2003,0.0357,5
21,2003,5,18.97846757,102.4242857,5.396868073,4.954568539,1.790175587,31/05/2003,0.0333,1.756875587
22,2003,6,20.25708681,110.092381,5.434758808,5.396868073,0.087581166,30/06/2003,0.0398,0.047781166
23,2003,7,19.11159355,107.4072727,5.620006122,5.434758808,0.495127273,31/07/2003,0.0445,0.450627273
24,2003,8,16.08444929,103.4195238,6.429783325,5.620006122,4.029381646,31/08/2003,0.0427,3.986681646
25,2003,9,16.49692029,103.6171429,6.280999184,6.429783325,-0.244927267,30/09/2003,0.0429,-0.287827267
26,2003,10,16.11119465,101.0669565,6.273088911,6.280999184,-0.015008523,31/10/2003,0.043,-0.058008523
27,2003,11,15.62999184,100.9621053,6.459511066,6.273088911,0.421079722,30/11/2003,0.0427,0.378379722
28,2003,12,16.41814209,105.84,6.446527227,6.459511066,-0.023855535,31/12/2003,0.0415,-0.065355535
29,2004,1,19.00972735,116.393,6.122812698,6.446527227,-0.461107877,31/01/2004,0.0408,-0.501907877
30,2004,2,23.60234253,117.9884211,4.999013167,6.122812698,-0.912259586,29/02/2004,0.0383,-0.950559586
31,2004,3,21.13295874,116.9456522,5.533804027,4.999013167,2.385898487,31/03/2004,0.0435,2.342398487
32,2004,4,19.9864141,116.477619,5.827839776,5.533804027,0.861255262,30/04/2004,0.0472,0.814055262
33,2004,5,19.6863289,113.078,5.743986122,5.827839776,-0.159632315,31/05/2004,0.0473,-0.206932315
34,2004,6,19.47377914,112.7285714,5.788736259,5.743986122,0.097601202,30/06/2004,0.045,0.052601202
35,2004,7,19.86688395,113.1814286,5.696989465,5.788736259,-0.174456735,31/07/2004,0.0428,-0.217256735
36,2004,8,21.27323091,117.18,5.508331128,5.696989465,-0.332432049,31/08/2004,0.0413,-0.373732049
37,2004,9,21.89458543,120.9933333,5.526176037,5.508331128,0.039575676,30/09/2004,0.041,-0.001424324
38,2004,10,21.82123214,122.6157143,5.619101318,5.526176037,0.221534595,31/10/2004,0.0419,0.179634595
39,2004,11,19.37657171,126.2971429,6.518033464,5.619101318,4.934671375,30/11/2004,0.0423,4.892371375
40,2004,12,19.50489395,129.2586364,6.626984831,6.518033464,0.220092304,31/12/2004,0.0422,0.177892304
41,2005,1,18.5979099,122.966,6.611818245,6.626984831,-0.027120256,31/01/2005,0.0417,-0.068820256
42,2005,2,18.41572558,120.5263158,6.544749772,6.611818245,-0.115158097,28/02/2005,0.045,-0.160158097
43,2005,3,18.31817355,118.6190909,6.475486795,6.544749772,-0.119858487,31/03/2005,0.0434,-0.163258487
44,2005,4,18.289664,117.4995238,6.424367545,6.475486795,-0.090724503,30/04/2005,0.0414,-0.132124503
45,2005,5,18.60205795,117.2338095,6.302195694,6.424367545,-0.205785042,31/05/2005,0.04,-0.245785042
46,2005,6,19.14571291,120.8427273,6.311738186,6.302195694,0.018321926,30/06/2005,0.0418,-0.023478074
47,2005,7,19.2030219,122.028,6.354624842,6.311738186,0.084654154,31/07/2005,0.0426,0.042054154
48,2005,8,18.51653061,122.0230435,6.58995176,6.354624842,0.547062402,31/08/2005,0.042,0.505062402
49,2005,9,17.9670399,118.9228571,6.618945456,6.58995176,0.05409269,30/09/2005,0.0446,0.00949269
50,2005,10,17.43723505,113.4566667,6.506574371,6.618945456,-0.185739906,31/10/2005,0.0454,-0.231139906
51,2005,11,17.99437214,119.1480952,6.621408866,6.506574371,0.233604921,30/11/2005,0.0447,0.188904921
52,2005,12,19.22563752,120.2847619,6.256477152,6.621408866,-0.493530283,31/12/2005,0.0442,-0.537730283
53,2006,1,19.45058345,119.578,6.147784734,6.256477152,-0.18966337,31/01/2006,0.0457,-0.23536337
54,2006,2,21.61909489,127.1357895,5.88071749,6.147784734,-0.41313262,28/02/2006,0.0472,-0.46033262
55,2006,3,21.34013078,132.7991304,6.222976409,5.88071749,0.971578433,31/03/2006,0.0499,0.921678433
56,2006,4,20.57399368,130.09,6.323031007,6.222976409,0.210949083,30/04/2006,0.0511,0.159849083
57,2006,5,19.77342559,126.5204545,6.398509654,6.323031007,0.153034274,31/05/2006,0.0511,0.101934274
58,2006,6,19.83638032,128.3372727,6.469792909,6.398509654,0.142190649,30/06/2006,0.0509,0.091290649
59,2006,7,19.7355266,130.2525,6.599899898,6.469792909,0.269882761,31/07/2006,0.0488,0.221082761
60,2006,8,20.40175209,136.0086957,6.666520359,6.599899898,0.128086324,31/08/2006,0.0472,0.080886324
61,2006,9,21.3698003,141.881,6.639322689,6.666520359,-0.04787316,30/09/2006,0.0473,-0.09517316
62,2006,10,21.74933577,146.6577273,6.743089941,6.639322689,0.204542435,31/10/2006,0.046,0.158542435
63,2006,11,20.24748148,147.2114286,7.270604433,6.743089941,1.469100534,30/11/2006,0.0456,1.423500534
64,2006,12,20.99991205,152.075,7.241696996,7.270604433,-0.046681571,31/12/2006,0.0476,-0.094281571
65,2007,1,20.70843245,153.7435,7.424197866,7.241696996,0.348063234,31/01/2007,0.0472,0.300863234
66,2007,2,22.85643284,159.54,6.980091824,7.424197866,-0.522977159,28/02/2007,0.0456,-0.568577159
67,2007,3,22.28901395,159.9459091,7.17599753,6.980091824,0.393970993,31/03/2007,0.0469,0.347070993
68,2007,4,22.87406025,165.4355,7.232450129,7.17599753,0.098595979,30/04/2007,0.0475,0.051095979
69,2007,5,23.687202,174.1072727,7.350267572,7.232450129,0.213982471,31/05/2007,0.051,0.162982471
70,2007,6,23.8691459,175.79,7.364737754,7.350267572,0.023881404,30/06/2007,0.05,-0.026118596
71,2007,7,23.59138181,174.7352381,7.406740288,7.364737754,0.070626421,31/07/2007,0.0467,0.023926421
72,2007,8,23.13959,169.7526087,7.336024912,7.406740288,-0.108740506,31/08/2007,0.0452,-0.153940506
73,2007,9,23.95015132,173.6968421,7.252431929,7.336024912,-0.128486006,30/09/2007,0.0453,-0.173786006
74,2007,10,24.29993574,177.0795652,7.287244177,7.252431929,0.059146238,31/10/2007,0.0415,0.017646238
75,2007,11,22.8555729,164.197619,7.184139279,7.287244177,-0.157175681,30/11/2007,0.041,-0.198175681
76,2007,12,24.04255865,167.4305,6.96392187,7.184139279,-0.311744391,31/12/2007,0.0374,-0.349144391
77,2008,1,22.22617467,153.7833333,6.919019383,6.96392187,-0.074688656,31/01/2008,0.0374,-0.112088656
78,2008,2,20.5222349,143.846,7.009275583,6.919019383,0.168269553,29/02/2008,0.0351,0.133169553
79,2008,3,20.38179705,138.2035,6.78073183,7.009275583,-0.328198142,31/03/2008,0.0368,-0.364998142
80,2008,4,21.04865168,144.5972727,6.869669132,6.78073183,0.169259799,30/04/2008,0.0388,0.130459799
81,2008,5,20.91881148,152.3404762,7.282463268,6.869669132,1.01423338,31/05/2008,0.041,0.97323338
82,2008,6,19.40215962,142.2214286,7.330185472,7.282463268,0.081533383,30/06/2008,0.0401,0.041433383
83,2008,7,17.53458627,130.9059091,7.465582994,7.330185472,0.24561885,31/07/2008,0.0389,0.20671885
84,2008,8,16.38553919,129.0538095,7.876079513,7.465582994,0.900887298,31/08/2008,0.0369,0.863987298
85,2008,9,15.83550752,123.682381,7.810446288,7.876079513,-0.095540555,30/09/2008,0.0381,-0.133640555
86,2008,10,13.373489,102.3073913,7.650014989,7.810446288,-0.220462105,31/10/2008,0.0353,-0.255762105
87,2008,11,13.41391579,103.9231579,7.747413919,7.650014989,0.163948276,30/11/2008,0.0242,0.139748276
88,2008,12,14.195809,109.4436364,7.709573746,7.747413919,-0.05706167,31/12/2008,0.0252,-0.08226167
89,2009,1,13.58344455,104.405,7.686194736,7.709573746,-0.035788743,31/01/2009,0.0287,-0.064488743
90,2009,2,13.17266942,98.23157895,7.457226459,7.686194736,-0.304349053,28/02/2009,0.0282,-0.332549053
91,2009,3,12.92207205,98.91,7.65434519,7.457226459,0.367629762,31/03/2009,0.0293,0.338329762
92,2009,4,13.81054857,105.7533333,7.657431766,7.65434519,0.004849686,30/04/2009,0.0329,-0.028050314
93,2009,5,13.5249816,104.0465,7.692912499,7.657431766,0.057041129,31/05/2009,0.0372,0.019841129
94,2009,6,13.41237364,102.9454545,7.675409091,7.692912499,-0.026964077,30/06/2009,0.0356,-0.062564077
95,2009,7,13.87021845,102.7359091,7.406942394,7.675409091,-0.347697237,31/07/2009,0.0359,-0.383597237
96,2009,8,14.73093243,105.2838095,7.147124599,7.406942394,-0.348508676,31/08/2009,0.034,-0.382508676
97,2009,9,14.88335638,106.4742857,7.153916293,7.147124599,0.011463022,30/09/2009,0.0339,-0.022436978
98,2009,10,14.76149477,104.4754545,7.07756607,7.153916293,-0.120813651,31/10/2009,0.034,-0.154813651
99,2009,11,15.3248819,106.5895,6.955322768,7.07756607,-0.188664878,30/11/2009,0.0359,-0.224564878
100,2009,12,16.327431,113.9622727,6.979804277,6.955322768,0.043065237,31/12/2009,0.0373,0.005765237
101,2010,1,15.67397121,109.0768421,6.959106958,6.979804277,-0.035009136,31/01/2010,0.0369,-0.071909136
102,2010,2,15.14447479,103.4152632,6.828580363,6.959106958,-0.203248369,28/02/2010,0.0373,-0.240548369
103,2010,3,15.67449078,106.5613043,6.798390189,6.828580363,-0.051782545,31/03/2010,0.0385,-0.090282545
104,2010,4,15.85057962,108.0485714,6.81669529,6.798390189,0.032793583,30/04/2010,0.0342,-0.001406417
105,2010,5,15.2852997,104.359,6.827409475,6.81669529,0.019024983,31/05/2010,0.032,-0.012975017
106,2010,6,15.31805505,104.7622727,6.839136719,6.827409475,0.020807899,30/06/2010,0.0301,-0.009292101
107,2010,7,15.2339751,106.0609524,6.962132452,6.839136719,0.238488413,31/07/2010,0.027,0.211488413
108,2010,8,15.90143555,112.43,7.070430822,6.962132452,0.20349185,31/08/2010,0.0265,0.17699185
109,2010,9,16.84485814,118.5833333,7.039734756,7.070430822,-0.05087148,30/09/2010,0.0254,-0.07627148
110,2010,10,17.391043,121.5761905,6.990736006,7.039734756,-0.080399347,31/10/2010,0.0276,-0.107999347
111,2010,11,17.66441695,122.0890476,6.911580945,6.990736006,-0.127723926,30/11/2010,0.0329,-0.160623926
112,2010,12,18.32715509,125.8695455,6.867926027,6.911580945,-0.073216011,31/12/2010,0.0339,-0.107116011
113,2011,1,19.3727053,126.3555,6.522346675,6.867926027,-0.461805522,31/01/2011,0.0358,-0.497605522
114,2011,2,23.21423574,126.0789474,5.43110481,6.522346675,-0.888875028,28/02/2011,0.0341,-0.922975028
115,2011,3,22.90849291,126.2878261,5.512707735,5.43110481,0.195973103,31/03/2011,0.0346,0.161373103
116,2011,4,23.47364395,132.2345,5.633317958,5.512707735,0.296556823,30/04/2011,0.0317,0.264856823
